,complexity_avg_raw_std,complexity_avg_norm_std,complexity_div_std,complexity_disp_std,complexity_diss_aa_seq_std,complexity_diss_aa_mset_std,complexity_diss_ac_seq_std,complexity_diss_ac_mset_std,f_score_imts,f_score_imto,f_score_imtf,f_score_imfts,f_score_imfto,f_score_imftf,precision_imts,precision_imto,precision_imtf,precision_imfts,precision_imfto,precision_imftf,fitness_imts,fitness_imto,fitness_imtf,fitness_imfts,fitness_imfto,fitness_imftf
f_score_imftf,0.001378948321319858,0.756941362195011,0.3159495552671112,0.9237300219864941,0.1451779465187175,0.12250912218456009,0.17213722959786687,0.13449329737072996,0.022718925819083618,0.007107718420089525,0.0003506845222717008,0.015801542854342897,3.777904720524088e-07,,0.018022313776453924,0.018336879711096914,0.0010872787306495434,0.007256819026351672,1.7248031359108889e-06,2.6345895678308016e-14,,,,0.567525051725912,0.9852139698075463,0.9360799166022661
precision_imts,0.0532192145095071,0.34136113935922974,0.027471106231420246,0.3495118592183673,0.19032935481806174,0.1628940658043883,0.17928458580204254,0.14555784783656003,3.2757948308938144e-16,0.0003227467133339293,9.213714370465438e-07,0.00017179653589354893,0.013180139092478529,0.018022313776453924,,0.00014498835283934802,2.92328214751062e-07,6.706775315791903e-05,0.016861360161550765,0.013212303767241572,,,,0.9218488555511002,0.5713886814072081,0.6480244796498882
precision_imto,0.0027202761825361067,0.2811981637859511,0.016400516734303778,0.14331102246705638,0.01215850627132993,0.012908574708425033,0.012200876877228217,0.01131507804923861,0.0003783993338612974,1.584387088391177e-15,1.0535120673492808e-05,0.0006108125377580888,9.079726951732204e-05,0.018336879711096914,0.00014498835283934802,,9.704149756308708e-06,8.271108911007102e-05,0.00020387048539899025,0.024027170938779638,,,,0.49695772952914335,0.829111974386809,0.9865500573861659
precision_imtf,0.005028738623326937,0.15485015695194604,0.013532038478826523,0.2778752824041395,0.024663543943870783,0.030484956962395365,0.029516798078674855,0.031376102885557776,1.57208609925165e-06,1.254787190778236e-05,9.259605956515259e-17,0.0001553791577534964,0.0010952494864001673,0.0010872787306495434,2.92328214751062e-07,9.704149756308708e-06,,1.533750965930319e-05,0.0026014247512484512,0.0015293937652517593,,,,0.6047570565773575,0.9097710588492015,0.8018200205825321
precision_imfts,0.057560535010662786,0.040032142647329856,0.013079593689557807,0.06815206322400906,0.020412326170562017,0.017307248805387376,0.018573203538493673,0.01313318704828028,0.0006011632074922873,0.00014275976114693097,6.336696285466673e-05,3.339211417193566e-12,0.006484236087346211,0.007256819026351672,6.706775315791903e-05,8.271108911007102e-05,1.533750965930319e-05,,0.0073985744435010325,0.004830768507171738,,,,0.9250596577269794,0.8669965952395535,0.7982046322867382
precision_imfto,0.0008807132759944889,0.646005015582041,0.16171152939991223,0.7158783970742775,0.1111464274932594,0.1011974376910918,0.12510255053953143,0.105401789906366,0.016139123018082138,6.495304157239409e-05,0.0011653101321783934,0.02083244421242479,2.6687665357090667e-14,1.7248031359108889e-06,0.016861360161550765,0.00020387048539899025,0.0026014247512484512,0.0073985744435010325,,1.108203679896738e-06,,,,0.36520300031826447,0.6894967344541623,0.8093587734968588
precision_imftf,0.006239481267531618,0.6267376240926316,0.2697553958330203,0.8905978708235909,0.17149655891921983,0.14130688067935143,0.19201741334121472,0.1473444972136701,0.015986765910798558,0.011947100160817821,0.0007533041183496932,0.014290434617819736,1.7388519147589865e-06,2.6345895678308016e-14,0.013212303767241572,0.024027170938779638,0.0015293937652517593,0.004830768507171738,1.108203679896738e-06,,,,,0.46238620168119904,0.730698931309032,0.6598703842172711
fitness_imts,,,,,,,,,,,,,,,,,,,,,,,,,,
fitness_imto,,,,,,,,,,,,,,,,,,,,,,,,,,
fitness_imtf,,,,,,,,,,,,,,,,,,,,,,,,,,
