,complexity_avg_raw_std,complexity_avg_norm_std,complexity_div_std,complexity_disp_std,complexity_diss_aa_seq_std,complexity_diss_aa_mset_std,complexity_diss_ac_seq_std,complexity_diss_ac_mset_std,f_score_imts,f_score_imto,f_score_imtf,f_score_imfts,f_score_imfto,f_score_imftf,precision_imts,precision_imto,precision_imtf,precision_imfts,precision_imfto,precision_imftf,fitness_imts,fitness_imto,fitness_imtf,fitness_imfts,fitness_imfto,fitness_imftf
precision_imtf,0.014908135230284105,0.008554291295462594,0.009196499008347856,0.15298997836125902,0.05133078407734817,0.05133078407734817,0.06894341385992378,0.05133078407734817,2.4064408841719774e-06,4.956437411709012e-05,8.334752892104681e-10,8.497517562663989e-05,0.003863925675800149,0.0013028030103300185,2.4064408841719774e-06,4.956437411709012e-05,,8.79173144153617e-05,0.0025368776532450343,0.0016304438544613724,,,,0.15842009851248773,0.3666970367536152,0.6575703249266349
precision_imfts,0.13827005201751597,0.009262866068026699,0.006110558234352078,0.029624545536139725,0.0410275323320529,0.029624545536139725,0.0410275323320529,0.02106056093623067,7.280929786817305e-06,0.0006919786610087599,8.79173144153617e-05,1.2729793827599353e-07,0.02731919730382755,0.013448156464470206,7.280929786817305e-06,0.0006919786610087599,8.79173144153617e-05,,0.02731919730382755,0.01116197046320185,,,,0.4622243003330314,0.8616674820435062,0.9348950720844167
precision_imfto,7.745065863454172e-06,0.11260412706479736,0.08458180429565001,0.3465102430196928,0.06427056776357451,0.047687373481995046,0.0853501656758341,0.047687373481995046,0.0361806167443217,0.00010251957630002948,0.0025368776532450343,0.06679806847513828,1.7181127665444849e-16,6.417954544956894e-06,0.0361806167443217,0.00010251957630002948,0.0025368776532450343,0.02731919730382755,,8.699351622768187e-06,,,,0.7779728326668359,0.36689500763478944,0.6577058711575223
precision_imftf,0.0008272228771746477,0.2297237289085876,0.19280329470093893,0.6967282237511296,0.24231403900447246,0.19389726090048653,0.298661143977058,0.19389726090048653,0.005942417711450697,0.034859278581579216,0.0016304438544613724,0.025950415925546165,8.699351622768187e-06,2.7891940037466153e-09,0.005942417711450697,0.034859278581579216,0.0016304438544613724,0.01116197046320185,8.699351622768187e-06,,,,,0.6575703249266349,0.5762979432439546,0.44388548615976364
fitness_imts,,,,,,,,,,,,,,,,,,,,,,,,,,
fitness_imto,,,,,,,,,,,,,,,,,,,,,,,,,,
fitness_imtf,,,,,,,,,,,,,,,,,,,,,,,,,,
fitness_imfts,0.49349268364763654,0.7169617905927377,0.7466613924497143,0.10698554130342693,0.1256960134695203,0.19721971643228653,0.1256960134695203,0.17065324789196668,0.038383615685443094,0.6577058711575223,0.15842009851248773,0.11330689955360164,0.7779728326668359,0.545538299853531,0.038383615685443094,0.6577058711575223,0.15842009851248773,0.4622243003330314,0.7779728326668359,0.6575703249266349,,,,,0.010863427065230743,0.02853852275330328
fitness_imfto,0.8298963832086543,0.8974362407120077,0.9656442342368668,0.7634964482582672,0.5762979432439546,0.41409515253702944,0.5762979432439546,0.3666970367536152,0.4615952967519892,0.9657279254725721,0.3666970367536152,0.5734391858409982,0.46512300404700635,0.7634964482582672,0.4615952967519892,0.9657279254725721,0.3666970367536152,0.8616674820435062,0.36689500763478944,0.5762979432439546,,,,0.010863427065230743,,4.390416203850527e-05
fitness_imftf,0.9678696981482421,0.7169617905927377,0.9677897069246485,0.7778813854165827,0.6003726111945518,0.6003726111945518,0.6003726111945518,0.49330990363723193,0.6551429485590179,0.5457081747185151,0.6575703249266349,0.6551429485590179,0.7779728326668359,0.6003726111945518,0.6551429485590179,0.5457081747185151,0.6575703249266349,0.9348950720844167,0.6577058711575223,0.44388548615976364,,,,0.02853852275330328,4.390416203850527e-05,
