,complexity_avg_raw_std,complexity_avg_norm_std,complexity_div_std,complexity_disp_std,complexity_diss_aa_seq_std,complexity_diss_aa_mset_std,complexity_diss_ac_seq_std,complexity_diss_ac_mset_std,f_score_imts,f_score_imto,f_score_imtf,f_score_imfts,f_score_imfto,f_score_imftf,precision_imts,precision_imto,precision_imtf,precision_imfts,precision_imfto,precision_imftf,fitness_imts,fitness_imto,fitness_imtf,fitness_imfts,fitness_imfto,fitness_imftf
f_score_imtf,-0.3957797417883147,-0.4274421211313799,-0.4278319565439017,-0.2328042328042328,-0.31746031746031744,-0.31746031746031744,-0.2962962962962963,-0.31746031746031744,0.7807200583588265,0.6596329029805246,1.0,0.6506000486323553,0.46965862692213345,0.5238095238095237,0.7807200583588264,0.6596329029805245,1.0,0.6543303050815759,0.49076687981751027,0.5132275132275131,,,,0.25587010359546575,0.1656833739159028,0.08041631827286065
f_score_imfts,-0.19466570535691505,-0.4001461721225476,-0.4055175020198813,-0.25481835238100586,-0.25481835238100586,-0.27650502066875104,-0.25481835238100586,-0.2981916889564962,0.7555555555555555,0.5299233090271577,0.6506000486323553,1.0,0.30281331944409,0.37951669503554064,0.7555555555555555,0.5299233090271576,0.6506000486323554,0.8958635100122276,0.30281331944409,0.3686733608916681,,,,0.2921532737340716,0.10509877084907762,0.08240220541217404
f_score_imfto,-0.6526315789473685,-0.24210526315789474,-0.2826917959432124,-0.15303483349148167,-0.3007926037591192,-0.32190085665449597,-0.2796843508637424,-0.32190085665449597,0.3460723650789601,0.5789473684210527,0.46965862692213345,0.30281331944409,1.0,0.7335117881143434,0.34607236507896005,0.5789473684210527,0.46965862692213345,0.3674336930617448,0.9789473684210527,0.7229576616666549,,,,-0.051039174580310834,-0.13377121081198776,-0.051039174580310834
f_score_imftf,-0.5329833856082637,-0.18469721283454685,-0.2246117771855484,-0.07407407407407407,-0.20105820105820105,-0.2222222222222222,-0.17989417989417988,-0.2222222222222222,0.4445766998987762,0.33245498310218435,0.5238095238095237,0.37951669503554064,0.7335117881143434,1.0,0.44457669989877624,0.33245498310218435,0.5238095238095237,0.41239304942116123,0.7335117881143433,0.9682539682539683,,,,0.10965861582662816,-0.05522779130530094,-0.0950374670497444
precision_imts,-0.3677018878963951,-0.29199855803537256,-0.4055175020198813,-0.18975834751777035,-0.23313168409326068,-0.25481835238100586,-0.23313168409326068,-0.27650502066875104,0.9999999999999999,0.6164414002968976,0.7807200583588264,0.7555555555555555,0.34607236507896005,0.44457669989877624,1.0,0.6164414002968976,0.7807200583588265,0.7606388292556648,0.3460723650789601,0.4554200340426488,,,,0.38204658872917047,0.13743685418725535,0.08240220541217404
precision_imto,-0.4842105263157895,-0.30526315789473685,-0.3466974855907322,-0.19525133928223526,-0.34300910954987274,-0.38522561534062627,-0.34300910954987274,-0.38522561534062627,0.6164414002968976,1.0,0.6596329029805245,0.5299233090271576,0.5789473684210527,0.33245498310218435,0.6164414002968976,1.0,0.6596329029805246,0.5648607520202943,0.6000000000000001,0.34300910954987274,,,,0.0802044171976313,0.007868894753646338,0.10936965981495178
precision_imtf,-0.3957797417883147,-0.4274421211313799,-0.4278319565439017,-0.2328042328042328,-0.31746031746031744,-0.31746031746031744,-0.2962962962962963,-0.31746031746031744,0.7807200583588265,0.6596329029805246,1.0,0.6506000486323554,0.46965862692213345,0.5238095238095237,0.7807200583588265,0.6596329029805246,1.0,0.6543303050815759,0.49076687981751027,0.5132275132275131,,,,0.25587010359546575,0.1656833739159028,0.08041631827286065
precision_imfts,-0.2467838236981868,-0.43324271271459464,-0.46128911193268457,-0.3629058834906219,-0.3409115875214933,-0.3629058834906219,-0.3409115875214933,-0.3849001794597505,0.7606388292556648,0.5648607520202943,0.6543303050815759,0.8958635100122276,0.3674336930617448,0.41239304942116123,0.7606388292556648,0.5648607520202943,0.6543303050815759,1.0,0.36743369306174484,0.42339019740572553,,,,0.13675269175156554,0.03279680246763151,0.015194743527951726
precision_imfto,-0.6736842105263158,-0.2631578947368421,-0.2826917959432124,-0.15303483349148167,-0.3007926037591192,-0.32190085665449597,-0.2796843508637424,-0.32190085665449597,0.3460723650789601,0.6000000000000001,0.49076687981751027,0.30281331944409,0.9789473684210527,0.7335117881143433,0.3460723650789601,0.6000000000000001,0.49076687981751027,0.36743369306174484,1.0,0.7229576616666549,,,,-0.051039174580310834,-0.1652467898265731,-0.0802044171976313
precision_imftf,-0.5435375120559522,-0.19525133928223526,-0.21391597827195086,-0.06349206349206349,-0.19047619047619047,-0.21164021164021163,-0.1693121693121693,-0.21164021164021163,0.4554200340426488,0.34300910954987274,0.5132275132275131,0.3686733608916681,0.7229576616666549,0.9682539682539683,0.4554200340426488,0.34300910954987274,0.5132275132275131,0.42339019740572553,0.7229576616666549,1.0,,,,0.08041631827286065,-0.10256589813841603,-0.13890091338039567
fitness_imts,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
fitness_imto,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
fitness_imtf,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
